iter	Logloss
279	0.189009984
280	0.1887263105
281	0.1885017698
282	0.1882229553
283	0.1880256359
284	0.1876589977
285	0.1874739586
286	0.1868869085
287	0.1867344599
288	0.1861461525
289	0.1858785853
290	0.1856696502
291	0.185336314
292	0.185103019
293	0.1847307502
294	0.1845789103
295	0.1844223447
296	0.1840891397
297	0.1836260596
298	0.1834578025
299	0.1830705486
300	0.1826486884
301	0.1821250438
302	0.1819467052
303	0.1816401006
304	0.1814956526
305	0.1812685663
306	0.1810200023
307	0.1808654453
308	0.1806999974
309	0.1805252417
310	0.1802635771
311	0.18012172
312	0.179875873
313	0.1796285817
314	0.1790707962
315	0.1789165475
316	0.1787877739
317	0.1785450593
318	0.1783873575
319	0.1782531817
320	0.1776951654
321	0.1775392975
322	0.1773372845
323	0.1771872801
324	0.1767368548
325	0.1765450621
326	0.1763031892
327	0.1759488781
328	0.1756623109
329	0.175504601
330	0.1752523147
331	0.1751012962
332	0.1748519826
333	0.1746761275
334	0.1745133188
335	0.1741644936
336	0.1740090828
337	0.1737373388
338	0.1732375899
339	0.1730977343
340	0.1728745466
341	0.1724179859
342	0.1722219302
343	0.1721409177
344	0.1719337491
345	0.1718112384
346	0.171669602
347	0.1715344758
348	0.1713834748
349	0.1712307727
350	0.1710861946
351	0.1705891015
352	0.1702315425
353	0.1699460986
354	0.1698011808
355	0.1693846073
356	0.1692390994
357	0.1691084539
358	0.1689100204
359	0.1687298371
360	0.1685934225
361	0.1684612661
362	0.1680871105
363	0.1679701345
364	0.167801297
365	0.1676803813
366	0.1674099291
367	0.1673000947
368	0.1671980651
369	0.1670293257
370	0.166901432
371	0.1667677138
372	0.1665898919
373	0.1664457729
374	0.1659867179
375	0.1658775097
376	0.1654741927
377	0.165339906
378	0.1651279033
379	0.1649466322
380	0.1648150277
381	0.1647251609
382	0.16458293
383	0.1641355768
384	0.1639206321
385	0.1637286364
386	0.1636340385
387	0.163521403
388	0.1632909896
389	0.1629914066
390	0.1628119274
391	0.1627088735
392	0.1622764198
393	0.1620499483
394	0.1618022973
395	0.1615933531
396	0.161403843
397	0.1612904707
398	0.161060821
399	0.1609624309
400	0.1607055606
401	0.1605331621
402	0.1604058329
403	0.1602910003
404	0.1601585825
405	0.1600643543
406	0.1597178386
407	0.1595452278
408	0.1594315499
409	0.1593013245
410	0.1591561677
411	0.1587940925
412	0.1586782511
413	0.1585070057
414	0.1583762904
415	0.1582178487
416	0.1580773894
417	0.1576370923
418	0.1572554664
419	0.1571619142
420	0.1570194459
421	0.1568263996
422	0.1566999435
423	0.1564973189
424	0.1563322237
425	0.1560612897
426	0.1559305051
427	0.1558049795
428	0.1554711273
429	0.1550922849
430	0.154990313
431	0.1546154218
432	0.1544658495
433	0.1543454933
434	0.1541347726
435	0.154034107
436	0.1538702969
437	0.1535397904
438	0.1534654979
439	0.1532771369
440	0.1531716231
441	0.1530935075
442	0.1529797212
443	0.1528481081
444	0.152740361
445	0.1526605767
446	0.152469776
447	0.1523468257
448	0.1522601348
449	0.1521475942
450	0.1519203651
451	0.1518323098
452	0.1517011326
453	0.1515888489
454	0.1514821594
455	0.1513743976
456	0.1512653271
457	0.1510727605
458	0.1509721693
459	0.1505348041
460	0.1503918801
461	0.1503068738
462	0.1501774353
463	0.1500630716
464	0.1498471254
465	0.1497374258
466	0.1494563212
467	0.1493264725
468	0.1492160894
469	0.1490932836
470	0.1489878267
471	0.1488852671
472	0.1487293183
473	0.1485479263
474	0.1482469754
475	0.1481160697
476	0.1477958043
477	0.1474102975
478	0.147026159
479	0.1469077177
480	0.1468086545
481	0.1467100622
482	0.1465592078
483	0.1463543735
484	0.1462410442
485	0.1460349264
486	0.1459156687
487	0.1458353256
488	0.1457158923
489	0.1455625216
490	0.1451507213
491	0.1448693926
492	0.144756005
493	0.1446586195
494	0.144536689
495	0.1444431746
496	0.1442379378
497	0.1441044298
498	0.1440103448
499	0.1439106227
345
